s,mph,hp,rpm,kw,torque_Nm
2.52,52.35,46.7,9490.189849,34.82419,35.04366296
2.52,52.36,46.69,9492.002684,34.816733,35.02946756
2.54,52.56,46.54,9528.259379,34.704878,34.78406409
2.54,52.57,46.53,9530.072214,34.697421,34.76997478
2.56,52.77,46.35,9566.328908,34.563195,34.50419857
2.56,52.78,46.34,9568.141743,34.555738,34.49021835
2.58,52.98,46.14,9604.398438,34.406598,34.21172216
2.58,52.99,46.13,9606.211273,34.399141,34.19785254
2.6,53.19,45.9,9642.467967,34.22763,33.89939874
2.6,53.2,45.89,9644.280802,34.220173,33.88564257
2.62,53.4,45.64,9680.537497,34.033748,33.57481891
2.62,53.41,45.63,9682.350332,34.026291,33.5611776
2.64,53.61,45.37,9718.607026,33.832409,33.24545432
2.64,53.62,45.35,9720.419861,33.817495,33.2246016
2.66,53.81,45.09,9754.863721,33.623613,32.9174772
2.66,53.82,45.07,9756.676556,33.608699,32.89676291
2.68,54.01,44.81,9791.120416,33.414817,32.59192909
2.68,54.02,44.8,9792.933251,33.40736,32.57862377
2.7,54.21,44.55,9827.377111,33.220935,32.28327617
2.7,54.22,44.54,9829.189945,33.213478,32.27007685
2.72,54.41,44.31,9863.633805,33.041967,31.99133211
2.72,54.42,44.3,9865.44664,33.03451,31.97823495
2.74,54.61,44.1,9899.8905,32.88537,31.72310679
2.74,54.62,44.09,9901.703335,32.877913,31.71010669
2.76,54.8,43.92,9934.33436,32.751144,31.48408478
2.76,54.81,43.91,9936.147195,32.743687,31.47117336
2.78,54.99,43.75,9968.77822,32.624375,31.25385823
2.78,55,43.75,9970.591055,32.624375,31.24817571
2.8,55.18,43.6,10003.22208,32.51252,31.03945544
2.8,55.19,43.59,10005.03491,32.505063,31.02671348
2.82,55.37,43.46,10037.66594,32.408122,30.83361879
2.82,55.38,43.45,10039.47877,32.400665,30.82095771
2.84,55.56,43.32,10072.1098,32.303724,30.62918994
2.84,55.57,43.32,10073.92263,32.303724,30.62367812
2.86,55.75,43.2,10106.55366,32.21424,30.44024722
